<cur_step>,<num_susceptible>,<num_infected>,<num_recovered>
1,9,1,0
2,9,1,0
3,9,1,0
4,9,1,0
5,9,1,0
6,9,1,0
7,9,1,0
8,9,1,0
9,9,1,0
10,9,1,0
11,9,1,0
12,9,1,0
13,9,1,0
14,9,1,0
15,9,1,0
16,9,1,0
17,9,1,0
18,9,1,0
19,9,1,0
20,9,1,0
21,9,1,0
22,9,1,0
23,9,1,0
24,9,1,0
25,9,1,0
26,9,1,0
27,9,1,0
28,9,1,0
29,9,1,0
30,9,1,0
31,9,1,0
32,9,1,0
33,9,1,0
34,9,1,0
35,9,1,0
36,9,1,0
37,9,1,0
38,9,1,0
39,9,1,0
40,9,1,0
41,9,1,0
42,9,1,0
43,9,1,0
44,9,1,0
45,9,1,0
46,9,1,0
47,9,1,0
48,9,1,0
49,9,1,0
50,9,1,0
51,9,1,0
52,8,2,0
53,8,2,0
54,8,2,0
55,8,2,0
56,8,2,0
57,8,2,0
58,8,2,0
59,8,2,0
60,8,2,0
61,8,2,0
62,8,2,0
63,8,2,0
64,8,2,0
65,8,2,0
66,8,2,0
67,8,2,0
68,8,2,0
69,8,2,0
70,8,2,0
71,8,2,0
72,8,2,0
73,8,2,0
74,8,2,0
75,8,2,0
76,8,2,0
77,8,2,0
78,8,2,0
79,8,2,0
80,8,2,0
81,8,2,0
82,8,2,0
83,8,2,0
84,8,2,0
85,8,2,0
86,8,2,0
87,8,2,0
88,8,2,0
89,8,2,0
90,8,2,0
91,8,2,0
92,8,2,0
93,8,2,0
94,8,2,0
95,8,2,0
96,8,2,0
97,8,2,0
98,8,2,0
99,8,2,0
100,8,2,0
101,8,2,0
102,8,2,0
103,8,2,0
104,8,2,0
105,8,2,0
106,8,2,0
107,8,2,0
108,8,2,0
109,8,2,0
110,8,2,0
111,8,2,0
112,8,2,0
113,8,2,0
114,8,2,0
115,8,2,0
116,8,2,0
117,8,2,0
118,8,2,0
119,8,2,0
120,8,2,0
121,8,2,0
122,8,2,0
123,8,2,0
124,8,2,0
125,8,2,0
126,8,2,0
127,8,2,0
128,8,2,0
129,8,2,0
130,8,2,0
131,8,2,0
132,8,2,0
133,8,2,0
134,8,2,0
135,8,2,0
136,8,2,0
137,8,2,0
138,8,2,0
139,8,2,0
140,8,2,0
141,8,2,0
142,8,2,0
143,8,2,0
144,8,2,0
145,8,2,0
146,8,2,0
147,8,2,0
148,8,2,0
149,8,2,0
150,8,2,0
151,8,2,0
152,8,2,0
153,8,2,0
154,8,2,0
155,8,2,0
156,8,2,0
157,8,2,0
158,8,2,0
159,8,2,0
160,8,2,0
161,8,2,0
162,8,2,0
163,8,2,0
164,8,2,0
165,8,2,0
166,8,2,0
167,8,2,0
168,8,2,0
169,8,2,0
170,8,2,0
171,8,2,0
172,8,2,0
173,8,2,0
174,8,2,0
175,8,2,0
176,8,2,0
177,8,2,0
178,8,2,0
179,8,2,0
180,8,2,0
181,8,2,0
182,8,2,0
183,8,2,0
184,8,2,0
185,8,2,0
186,8,2,0
187,8,2,0
188,8,2,0
189,8,2,0
190,8,2,0
191,8,2,0
192,8,2,0
193,8,2,0
194,8,2,0
195,8,2,0
196,8,2,0
197,8,2,0
198,8,2,0
199,8,2,0
200,8,2,0
201,8,2,0
202,8,2,0
203,8,2,0
204,8,2,0
205,8,2,0
206,8,2,0
207,8,2,0
208,8,2,0
209,8,2,0
210,8,2,0
211,8,2,0
212,8,2,0
213,8,2,0
214,8,2,0
215,8,2,0
216,8,2,0
